globalid,EcoIII,EcoII,L3_KEY,L2_KEY
{195DB4CB-28BD-4BB1-A672-F77B608BCCF0},6,11.1,6  Central California Foothills and Coastal Mountains,11.1  MEDITERRANEAN CALIFORNIA
{154E678D-3747-49B3-9174-729254332606},8,11.1,8  Southern California Mountains,11.1  MEDITERRANEAN CALIFORNIA
{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{68744FBF-49B6-4345-AD4B-196B11DB5F03},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{C62A141A-7EC7-49D6-AF97-002CE99C6DBA},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{C9500F1D-2A9C-4A67-9BD5-FC33B7B90BF9},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{7192F109-8617-4231-871C-DAD86552E24B},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{F71F10BB-4019-4382-A0DA-08C66DC3167C},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{D8E6CC6B-7EE4-41EC-B53A-436FDC0ECADB},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{E189DBDB-47EA-44A7-B41D-426B1B1738E2},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{A80CD7EC-27C9-4EB3-AC7E-2DC537105A18},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{9076BD8E-DCDC-45DE-8457-1211F00126D1},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{D03B5D74-2808-4E12-8915-956250367862},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{C4B26978-8955-4CB6-8D75-80412FBE9D97},8,11.1,8  Southern California Mountains,11.1  MEDITERRANEAN CALIFORNIA
{7852F5B8-CC32-4CF1-8CD5-7571BCE472F8},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{A5C2D30D-6800-49D8-AA65-686E826F6D9E},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{F4CD4AA2-04E4-4796-9EF8-F7CC6187F021},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{E2366335-49BD-4F8C-8D76-29268EAA8633},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{0E5D804B-4D7A-42A3-BE8C-BD04D793C53B},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{F42C2ADE-0D3F-4420-8809-BB4CDB5D4AFA},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{38CCB345-A4FC-4D78-B601-FCFD4D878355},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{ACC41397-C6A2-48D0-9B32-E583338E14D8},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{16A2BF63-459F-4190-B074-839519FC5800},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{E9877760-1F69-4FB2-B3B3-4338B0AADEF5},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{F9492B54-06C5-4B27-9242-4E66505D7A9D},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{638C1F3D-DD42-475B-8935-BD3B38D1E20B},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{05FAB0A8-0C7C-466D-A998-F3EFB60196AA},79,12.1,79  Madrean Archipelago,12.1  WESTERN SIERRA MADRE PIEDMONT
{93DF0C9C-E1FC-47C6-9F1A-C3504D12778F},79,12.1,79  Madrean Archipelago,12.1  WESTERN SIERRA MADRE PIEDMONT
{C0854C17-4C53-4B78-B64B-92EEC9143492},79,12.1,79  Madrean Archipelago,12.1  WESTERN SIERRA MADRE PIEDMONT
{EAB8CCC1-9C7E-4D8B-88D0-3B7CD0ED4508},8,11.1,8  Southern California Mountains,11.1  MEDITERRANEAN CALIFORNIA
{FAA94E34-F280-4F31-8B6B-D326A4D36F9A},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{A99257B7-E6DA-4646-8E0C-DDE2B7D803DE},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{DA66138F-F86E-4FCD-8E03-8F78C8042F5C},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{1BA3F45E-FE23-4123-939C-D0270B57CAA7},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{C0DF2B51-89FB-40EB-8EB0-423FC8515F03},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS (?)
{6F2784B1-7685-4527-A746-547CF66EB752},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS (?)
{C7231969-3731-4AA9-A1E4-38FE5184C125},24,10.2,24  Chihuahuan Deserts,10.2  WARM DESERTS
{F7F53F08-6730-4E55-B049-0E9AE0CEAB1E},24,10.2,24  Chihuahuan Deserts,10.2  WARM DESERTS
{AB381DB6-9462-4725-B0D3-5AE2C7E3B931},24,10.2,24  Chihuahuan Deserts,10.2  WARM DESERTS
{6D701535-9FB2-4702-B29D-CB9DF761ACE1},24,10.2,24  Chihuahuan Deserts,10.2  WARM DESERTS
{38DA65BF-1EFD-4939-82AB-62E88C77A024},24,10.2,24  Chihuahuan Deserts,10.2  WARM DESERTS
{130AFE10-6B06-4AD8-BA68-6D8FF4A6B0CF},24,10.2,24  Chihuahuan Deserts,10.2  WARM DESERTS
{E6CAFCC3-4129-4346-8F30-601CE8F27F3B},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{F8F18945-C66F-4FCF-AAB3-B2D5846A783D},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{07736B78-24E8-4333-9EF5-26F4DE559B6C},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{66A99E83-59FC-47A8-8251-E09C32A482AE},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{A673B832-F1F2-4F4D-8028-654EF39E1D05},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{4CC21818-81BA-42D2-B873-FA822B1F1CD7},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{CAEAEA08-DB66-4CF7-BF02-1729A79BFDBD},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{1F6A9A85-767E-4B71-BD41-5E495ADF8CB7},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{28E46F31-8F9B-49B4-8914-8EA077B498D6},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{6D1C2361-5252-4E77-982B-99F5C5EED589},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{AA0C72D2-E75D-4F8C-9514-00C33CC5A0B1},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{AD58B192-5A36-493C-8632-1EA74271890C},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{AA875EDA-6E31-446F-8B0D-99710ED81B58},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{FA505B88-F615-4FDC-AFF4-FD98E32EE106},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{43856FCC-D0D5-4493-B240-FC10537F7CFA},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{E8A7545C-1E88-4453-8A27-F0146D185BF5},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{748A583E-3F17-41AB-9DA0-52CE5CAF38BF},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{49FBD2CF-8701-4FAF-B1AE-E71EC2160C27},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{88638AA0-E038-4AE0-95F5-7852CE06519C},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{2E0151D4-B494-4E6D-9792-6B50648D5F4A},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{ABBD376C-77DB-485F-B652-AAA489677F52},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{96DD6C9A-2A33-45D9-B3DC-D829AAC6B199},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{B889B004-BE42-4734-8CF6-0D49A905B5D7},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{C5EC404D-BB29-4F4E-82C7-F1C25430F175},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{EC530C06-8718-4A80-8C17-609F89207F23},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{BF8E6B54-8856-455A-B98C-BEC6C932C713},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{6F58BEED-582B-4DCE-9C1C-09524D914042},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{DA1B271F-E6F4-4C6A-BCE6-0714FB4F955C},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{4B77E7B6-75DC-44E6-8D76-12DBC1AD9295},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{BD0FC776-F618-41D7-9E7B-ECC757B2B8F1},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{BEB5A382-7365-45AA-86B4-9DB393C1A2E6},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{CB632178-6F30-4354-A607-5D56B2127A42},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{EB1ECD0B-A9CA-4AA9-B6A7-4A3A51E98199},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{3E93C6E1-881E-4C01-BACE-13BF8AA6467A},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{28A4A76E-A208-494C-9AC4-48C256203AE4},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{3BDF9321-722E-4B15-9080-C965C5F24848},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{A485A5B9-2436-4C06-8139-91E11900229D},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{6C4C6810-7B60-46D4-B81A-96534F8475EA},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{B06A532B-FD7D-4335-BBB9-3945B0EE78EE},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{3B971CC1-E11F-4F2F-8A52-46B8A367FB3A},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{4194FC14-5A5D-4A6D-BF15-EE32ED00D43C},17,6.2,17  Middle Rockies,6.2  WESTERN CORDILLERA
{645520CB-1975-4757-BA6E-0094C71DB7B8},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{AEB37E53-6D67-499B-A44C-3D8B3D12FAC7},17,6.2,17  Middle Rockies,6.2  WESTERN CORDILLERA
{0A373DEB-B4D1-4FAB-8B02-DD28649DFBB0},17,6.2,17  Middle Rockies,6.2  WESTERN CORDILLERA
{8C3DC96A-7E5D-43D0-B6B8-5BAD47DBA097},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{91C3D3D4-6344-4771-B8CB-FD442D460E75},17,6.2,17  Middle Rockies,6.2  WESTERN CORDILLERA
{D1A681FD-B544-45DE-BC8C-96D861ADD202},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{D26C6B61-C75F-4D91-9300-1F991022985C},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{F98FA446-9B93-43A4-9BDF-48869944A1DB},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{49BF5BE1-B322-46A8-AEF0-46BD71AB9225},18,10.1,18  Wyoming Basin,10.1  COLD DESERTS
{7677F32A-5B00-4979-85BF-12EDFDF58F6C},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{9E6A1F6C-0D94-4577-BBF9-E7E0D7C35AB9},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{A8D73FFA-AE56-49FB-9EE7-ED8180B3B084},20,10.1,20  Colorado Plateaus,10.1  COLD DESERTS
{C07FE7FD-F1DB-422C-98FB-8648BE6493CA},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{C2C849C7-214D-45E5-A228-F81FBB08543A},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{4F0009A8-27B8-4504-B56F-BB17F11388B4},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{C96A2D4D-8554-47C3-A2F1-5EE22BCF0BBC},21,6.2,21  Southern Rockies,6.2  WESTERN CORDILLERA
{7F116A39-EE93-4A8A-9EAC-A21431D8E35C},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{FEDD663B-6EEB-44C0-B4B7-EEDA6CA8D8D7},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{E4649AE8-81F2-491B-8775-F01ACC07A2E3},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{EE1B3227-CE70-4D32-97AE-E1B87388CCE1},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{D9B33486-3745-4513-9101-5475A775DD9B},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{5B3B4CA7-B962-4FC3-A59D-86BEB3EBD155},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{FD4E312A-9AFE-4DFC-844D-3308FD8A5C5D},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{17CD3DCE-3CE9-4C74-A866-7AE152ACE663},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{166BF7D4-9B48-4C85-841A-ADF5DA2FC029},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{FADB518F-8CC5-4F87-820A-C238D1B723D5},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{748B9C3A-CC15-4CB7-A0ED-4E0F1AA5B142},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{E7723A40-D609-4386-9731-CD2DC21FD69A},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{AF9CBBEB-DA8B-4613-982A-8C87B5C89F96},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{F238494B-0251-4BFF-BE45-9C58A388CBF1},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{89A5B7C0-9616-4364-95A6-DE801FC8E4BD},6,11.1,6  Central California Foothills and Coastal Mountains,11.1  MEDITERRANEAN CALIFORNIA
{6162F393-6BBD-4A6A-A3E3-F1D022C10485},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{52403A9A-54BC-45F5-B23D-D29658219B59},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{FAB5EE74-1DBB-4AE1-97F6-6AE088766AAD},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{CAC9CA19-997C-411D-8982-3F6F5B5A5D9B},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{2FEF0481-C3A9-47DC-90C1-EF2A19E2212B},5,6.2,5  Sierra Nevada,6.2  WESTERN CORDILLERA
{B6224C76-FD28-40E6-AA68-78F21457286B},78,6.2,78  Klamath Mountains/California High North Coast Range,6.2  WESTERN CORDILLERA
{12CFE0F7-37CC-442B-9980-A3D7A92E2935},78,6.2,78  Klamath Mountains/California High North Coast Range,6.2  WESTERN CORDILLERA
{93875B9D-4BE9-4E08-835D-295202FFAD39},78,6.2,78  Klamath Mountains/California High North Coast Range,6.2  WESTERN CORDILLERA
{B562BACC-AA9B-418E-BB0D-5E11A8A2B534},1,7.1,1  Coast Range,7.1  MARINE WEST COAST FOREST
{1B1CB449-1FA2-498A-8CB0-2FBB4DF6B658},1,7.1,1  Coast Range,7.1  MARINE WEST COAST FOREST
{16894BF5-B3D9-4D40-BA70-037CD685382B},1,7.1,1  Coast Range,7.1  MARINE WEST COAST FOREST
{F1B3DEF9-16D2-4397-8939-8A43FF1C0F28},6,11.1,6  Central California Foothills and Coastal Mountains,11.1  MEDITERRANEAN CALIFORNIA
{90190FDB-89E1-4C3A-A5AD-08513D7CE265},6,11.1,6  Central California Foothills and Coastal Mountains,11.1  MEDITERRANEAN CALIFORNIA
{18F1B7F2-30B8-4442-8996-A6C3CCD5376B},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{BDD49962-D648-4DE4-8759-6CF9F27E9666},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{DC37829E-DEA9-485A-873D-D2BD7C2665C5},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{1B77F8A2-DC2C-45F9-876B-7480FBE34141},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{1BC1CD1D-2A76-4750-9627-3EFEA3FC3EA7},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{C87CAE26-0F0E-406B-92FE-5F945C710045},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{207E5E65-55CC-4D29-AF31-955D243AD442},85,11.1,85  Southern California/Northern Baja Coast,11.1  MEDITERRANEAN CALIFORNIA
{D0C6954C-3204-4200-B456-87BB05B3B95A},81,10.2,81  Sonoran Basin and Range,10.2  WARM DESERTS
{2B860B35-9215-4995-A95A-312A8A4D6162},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{098ED077-83E0-4E84-9779-A3D2835436F8},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{AA7C0D16-05B2-4644-B18A-477AD8A0C2DD},22,10.1,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS
{DB09B47E-2160-42E9-AAC9-02ADA2C24654},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{643F5396-780D-4B62-804D-25C02EB17B2D},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{0FCA084D-D648-439B-A395-545D6CEB66E5},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{CB8E893F-DB9F-485C-9078-8D628674E89D},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{0E999336-86B6-4F9B-B719-FB68A2B1237C},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{F092D24A-EB77-461A-BD52-FD733D22004F},14,10.2,14  Mojave Basin and Range,10.2  WARM DESERTS
{535F78A0-E097-465B-9DC2-4C7CDCFA9925},23,13.1,23  Arizona/New Mexico Mountains,13.1  UPPER GILA MOUNTAINS
{CD1B94B5-05AC-4A6C-B423-247BA3F5FE1C},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{B9193A56-4111-43E2-8CF6-E7E301C0B9EA},6,11.1,6  Central California Foothills and Coastal Mountains,11.1  MEDITERRANEAN CALIFORNIA
{10874E06-DD16-4543-AD3A-A71FA3ACCB7E},6,11.1,6  Central California Foothills and Coastal Mountains,11.1  MEDITERRANEAN CALIFORNIA
{6DA3E38E-4600-4D84-91CA-35C8FF63ED2F},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{FDB13E97-47EB-4C32-95F7-D28F685E57C1},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
{C4BC71C8-6FE0-46EB-825F-EF6454EFFB30},13,10.1,13  Central Basin and Range,10.1  COLD DESERTS
