globalid,tmean,tmax,tmin,ppt,ppt.m01,ppt.m02,ppt.m03,ppt.m04,ppt.m05,ppt.m06,ppt.m07,ppt.m08,ppt.m09,ppt.m10,ppt.m11,ppt.m12
{195DB4CB-28BD-4BB1-A672-F77B608BCCF0},14.60999966,21.09000015,8.119999886,466.0599976,102.2900009,93.94999695,78.44000244,34.09999847,12.80000019,2.720000029,0.330000013,0.469999999,3.690000057,20.64999962,46.40999985,70.20999908
{154E678D-3747-49B3-9174-729254332606},14.56999969,20.86000061,8.279999733,223.6600037,44.61999893,52.18999863,35.93999863,6.550000191,1.549999952,1.600000024,4.019999981,10.55000019,7.110000134,9.869999886,13.85999966,35.79999924
{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},23.12999916,31,15.26000023,104.6900024,25.15999985,22.95000076,12.60999966,1.340000033,0.639999986,0.25999999,3.710000038,5.170000076,6.099999905,4.53000021,6.760000229,15.46000004
{68744FBF-49B6-4345-AD4B-196B11DB5F03},23.14999962,31.05999947,15.22999954,94.16999817,21.12999916,22.20999908,12.81000042,1.320000052,0.730000019,0.349999994,2.640000105,5.840000153,4.949999809,3.970000029,6.050000191,12.17000008
{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},22.62000084,30.71999931,14.52000046,97.98999786,18.93000031,25.07999992,13.46000004,1.659999967,1.090000033,0.340000004,3,5.809999943,5.090000153,5.099999905,6.730000019,11.69999981
{C62A141A-7EC7-49D6-AF97-002CE99C6DBA},20.10000038,27.71999931,12.47000027,112.8700027,15.44999981,18.62000084,12.51000023,5.019999981,3.440000057,1.129999995,9.140000343,9.050000191,6.840000153,8.649999619,10.17000008,12.85000038
{C9500F1D-2A9C-4A67-9BD5-FC33B7B90BF9},20.01000023,27.82999992,12.18999958,298.4899902,34.93999863,37.90999985,35.13000107,12.47999954,5.420000076,2.549999952,29.80999947,45.25,23.87999916,21,20.38999939,29.72999954
{7192F109-8617-4231-871C-DAD86552E24B},20.69000053,28.17000008,13.19999981,122.0800018,15.97999954,20.03000069,16.57999992,2.880000114,2.789999962,1.00999999,10.07999992,10,7.28000021,12.28999996,9.640000343,13.52000046
{F71F10BB-4019-4382-A0DA-08C66DC3167C},15.68000031,24.12000084,7.230000019,290.3999939,27.60000038,40.22999954,33.72999954,15.72999954,6.400000095,2.440000057,24.34000015,46.56999969,32.43000031,22.12999916,18.96999931,19.82999992
{D8E6CC6B-7EE4-41EC-B53A-436FDC0ECADB},16.34000015,24.76000023,7.920000076,239.3800049,26.39999962,33.75999832,28.47999954,12.80000019,5.449999809,2.609999895,18.34000015,34.68999863,23.98999977,19.25,16.59000015,17.02000046
{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},10.64999962,18.94000053,2.359999895,607.2299805,68.04000092,72.69000244,71.93000031,35.88000107,15.22999954,8.119999886,53.79999924,76.08000183,54.36999893,41.91999817,44.15999985,65.01000214
{E189DBDB-47EA-44A7-B41D-426B1B1738E2},16.92000008,25.15999985,8.670000076,430.7000122,47.61000061,53.40000153,46.27999878,17.84000015,8.369999886,5.099999905,44.52000046,62.45999908,44.09000015,26.46999931,29.62000084,44.93999863
{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},19.28000069,27.15999985,11.39000034,424.0499878,49.27999878,51.18000031,46.31000137,16.51000023,7.559999943,3.720000029,42.88999939,57.93000031,41.40999985,30.12000084,30.93000031,46.20999908
{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},20.35000038,27.69000053,13,346.9299927,40.81999969,46.65999985,40.29999924,16.79000092,6.309999943,1.5,30.23999977,47.79000092,26.57999992,27.97999954,22.76000023,39.20000076
{A80CD7EC-27C9-4EB3-AC7E-2DC537105A18},21.17000008,29.93000031,12.40999985,236.0599976,22.68000031,27,22.12000084,7.929999828,3.539999962,0.959999979,34.86999893,45.95999908,24.29000092,12.47999954,14.56000042,19.67000008
{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},21.75,30.42000008,13.06999969,205.7599945,25.70999908,29.59000015,21.43000031,6.5,2.640000105,1.610000014,18.37999916,30.43000031,19.19000053,16.39999962,16.13999939,17.73999977
{9076BD8E-DCDC-45DE-8457-1211F00126D1},18.94000053,26.55999947,11.31000042,269.9899902,60.88999939,59.93000031,41.77000046,12.75,3.170000076,0.370000005,3.799999952,6.789999962,7.300000191,11.55000019,18.15999985,43.50999832
{D03B5D74-2808-4E12-8915-956250367862},17.78000069,26.60000038,8.960000038,412.9599915,79.94000244,97.51999664,74.88999939,29.23999977,8.659999847,2.579999924,4.019999981,5.400000095,7.889999866,16.86000061,33.45999908,52.5
{C4B26978-8955-4CB6-8D75-80412FBE9D97},16.5,25.78000069,7.210000038,424.0700073,83.86000061,92.52999878,71.73000336,27.85000038,9.010000229,1.620000005,7.400000095,12.38000011,10.81000042,17.53000069,30.02000046,59.33000183
{7852F5B8-CC32-4CF1-8CD5-7571BCE472F8},18.22999954,24.90999985,11.55000019,365.2000122,68.81999969,89.98999786,67.41999817,24.51000023,6.559999943,2.569999933,1,0.920000017,4.920000076,15.93000031,28.52000046,54.04000092
{A5C2D30D-6800-49D8-AA65-686E826F6D9E},21.27000046,29.79000092,12.75,293.8599854,23.03000069,27.21999931,23.62999916,8.949999809,3.5,4.210000038,50.40999985,58.34000015,25.22999954,23.69000053,17.01000023,28.63999939
{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},11.92000008,21.20999908,2.619999886,638.75,69.86000061,68.81999969,70.06999969,28.43000031,16.13999939,9.550000191,74.54000092,103.1900024,57.79999924,39.09000015,43.13000107,58.13000107
{F4CD4AA2-04E4-4796-9EF8-F7CC6187F021},20.90999985,28.95000076,12.86999989,298.1600037,26.73999977,25.80999947,22.12000084,9.210000038,4.820000172,4.75,49.81999969,57.75,28.11000061,23.20000076,17.43000031,28.39999962
{E2366335-49BD-4F8C-8D76-29268EAA8633},21.04000092,29.34000015,12.72999954,288.6900024,24.72999954,24.87999916,21.88999939,9.140000343,4.619999886,4.5,47.13000107,57.31000137,28.70000076,21.60000038,16.13999939,28.04999924
{0E5D804B-4D7A-42A3-BE8C-BD04D793C53B},21.04000092,29.40999985,12.65999985,288.6000061,24.18000031,25.57999992,22.43000031,9.039999962,4.110000134,4.360000134,47.65000153,56.61999893,27.88999939,22.07999992,16.45000076,28.20999908
{F42C2ADE-0D3F-4420-8809-BB4CDB5D4AFA},11.09000015,19.86000061,2.319999933,560.9299927,52.31999969,49.41999817,48.93999863,23.09000015,14.57999992,13.42000008,75.29000092,101.1900024,51.81000137,42.04000092,37.38999939,51.43999863
{38CCB345-A4FC-4D78-B601-FCFD4D878355},8.75,17.06999969,0.419999987,545.6500244,51.83000183,52.43000031,51.95000076,29.43000031,15.02000046,9.930000305,60.29000092,85.63999939,58.56000137,38.61999893,42.56999969,49.38000107
{ACC41397-C6A2-48D0-9B32-E583338E14D8},11.93000031,20.37999916,3.470000029,708.5599976,84.36000061,84.16000366,82,36.11000061,19.04000092,6.590000153,69.45999908,94.80000305,62.34000015,44.97999954,51.75,72.97000122
{16A2BF63-459F-4190-B074-839519FC5800},21.45000076,28.67000008,14.22999954,353.5499878,48.06000137,40.52999878,46.95999908,13.65999985,7.71999979,1.75999999,32.63999939,45.86000061,25.19000053,19.68000031,26.52000046,44.97000122
{E9877760-1F69-4FB2-B3B3-4338B0AADEF5},17.29000092,25.35000038,9.229999542,507.0299988,60.63000107,57.97999954,53.54999924,16.11000061,11.10999966,3.680000067,50.81999969,73.06999969,42.99000168,34.00999832,38.88000107,64.19999695
{F9492B54-06C5-4B27-9242-4E66505D7A9D},10.81000042,19.38999939,2.230000019,369.1700134,28.84000015,23.53000069,30.98999977,12.67000008,11.11999989,8.729999542,55.09999847,65.56999969,43.93000031,28.45999908,26.60000038,33.63000107
{638C1F3D-DD42-475B-8935-BD3B38D1E20B},20.25,28.30999947,12.18999958,367.6099854,36.56999969,31.03000069,28.67000008,11.11999989,5.889999866,6.159999847,51.33000183,73.40000153,39.72000122,28.32999992,21.96999931,33.41999817
{05FAB0A8-0C7C-466D-A998-F3EFB60196AA},16.62999916,25.17000008,8.079999924,390.8299866,28.56999969,25.40999985,23.45000076,10.22000027,5.110000134,10.27000046,80.13999939,89.34999847,40.38000107,29.96999931,15.19999981,32.75999832
{93DF0C9C-E1FC-47C6-9F1A-C3504D12778F},17.35000038,26.27000046,8.420000076,336.3800049,20.85000038,16.77000046,13.17000008,8.18999958,6.949999809,11.26000023,77.76000214,84.55999756,37.81000137,24.15999985,13.28999996,21.61000061
{C0854C17-4C53-4B78-B64B-92EEC9143492},17.28000069,26.13999939,8.420000076,332.3699951,21.05999947,16.32999992,13.47000027,8.109999657,7.03000021,11.63000011,76.11000061,81.56999969,35.97999954,23.96999931,13.85999966,23.25
{EAB8CCC1-9C7E-4D8B-88D0-3B7CD0ED4508},15.92000008,22.90999985,8.930000305,431.5499878,81.58000183,116.3600006,80.83000183,24.73999977,9.68999958,1.769999981,1.789999962,1.179999948,4.940000057,19.57999992,29.11000061,59.97999954
{FAA94E34-F280-4F31-8B6B-D326A4D36F9A},18.45000076,24.71999931,12.18000031,385.519989,70.41999817,90.30000305,68.18000031,28.27000046,8.039999962,2.619999886,1.649999976,1.230000019,5.800000191,17.05999947,30.02000046,61.93000031
{A99257B7-E6DA-4646-8E0C-DDE2B7D803DE},17.59000015,23.05999947,12.11999989,335.5799866,70.26999664,80.80000305,54.74000168,22.37000084,5.21999979,2.599999905,0.949999988,1.25999999,4.119999886,15.22999954,27.54999924,50.47000122
{DA66138F-F86E-4FCD-8E03-8F78C8042F5C},17.43000031,22.75,12.10000038,329.6300049,67.01999664,79.72000122,53.95000076,22.20999908,5.099999905,2.559999943,0.930000007,1.179999948,4.400000095,14.85999966,27.04999924,50.65000153
{1BA3F45E-FE23-4123-939C-D0270B57CAA7},6.619999886,14.81000042,-1.580000043,605.5800171,43.52000046,39.43999863,39.63000107,27.40999985,15.65999985,23.46999931,96.16000366,122.3799973,58.34000015,53.25999832,36.52000046,49.79000092
{C0DF2B51-89FB-40EB-8EB0-423FC8515F03},13.02999973,21.13999939,4.920000076,422.0100098,19.93000031,20.90999985,17.04999924,13.43000031,17.87000084,30.88999939,65.97000122,69.75,48.86999893,56.25,30.42000008,30.67000008
{6F2784B1-7685-4527-A746-547CF66EB752},10.47999954,18.39999962,2.559999943,587.1799927,30.62999916,29.84000015,24.63999939,25.04000092,28.76000023,55.59999847,102.1200027,110.5699997,66.90000153,45.02000046,31.29999924,36.75999832
{C7231969-3731-4AA9-A1E4-38FE5184C125},16.87999916,25.45000076,8.300000191,309.1300049,6.75,10.93000031,10.22000027,16.27000046,25.93000031,42.22000122,41.00999832,55.79000092,44.97999954,29.56999969,9.550000191,15.90999985
{F7F53F08-6730-4E55-B049-0E9AE0CEAB1E},15.89000034,25.04000092,6.730000019,361.1300049,9.43999958,11.82999992,12.22000027,14.65999985,44.75999832,46.91999817,51.75,59.40999985,48.65000153,33.31999969,12.5,15.67000008
{AB381DB6-9462-4725-B0D3-5AE2C7E3B931},16.45999908,25.20000076,7.71999979,318.480011,8.109999657,11.06000042,10.10999966,14.60000038,28.30999947,39.95999908,43.45999908,53.18000031,46.27000046,34.27999878,13.38000011,15.76000023
{6D701535-9FB2-4702-B29D-CB9DF761ACE1},16.42000008,25.09000015,7.75,320.4500122,9.510000229,11.26000023,10.25,14.48999977,31.57999992,40.24000168,43.93000031,48.24000168,47.16999817,31.13999939,17.09000015,15.55000019
{38DA65BF-1EFD-4939-82AB-62E88C77A024},17.44000053,25.82999992,9.039999962,348.6900024,10.55000019,12.47000027,12.89000034,15.85000038,31.94000053,38.93999863,48.29999924,52.36999893,62.93000031,27.60000038,17.5,17.35000038
{130AFE10-6B06-4AD8-BA68-6D8FF4A6B0CF},18.11000061,26.81999969,9.390000343,309.8699951,11.06000042,12.93000031,10.25,14.35000038,26.71999931,37.88999939,45.40999985,41.40000153,53.54000092,27.92000008,14.39000034,14.01000023
{E6CAFCC3-4129-4346-8F30-601CE8F27F3B},19.28000069,27.60000038,10.94999981,369.6600037,30.64999962,30.76000023,30.28000069,9.100000381,5.480000019,7.090000153,66.55999756,69.68000031,38.70000076,28.56999969,19.45000076,33.34000015
{F8F18945-C66F-4FCF-AAB3-B2D5846A783D},8.279999733,17.45000076,-0.889999986,410.0700073,21.05999947,19.92000008,20.64999962,13.93999958,14.63000011,15.52000046,78.68000031,93.51000214,49.75,34.38999939,21.94000053,26.07999992
{07736B78-24E8-4333-9EF5-26F4DE559B6C},10.03999996,19.69000053,0.379999995,324.8699951,23.68000031,20.57999992,24.84000015,18,14.68000031,11.43000031,48.18999863,58.88999939,32.15000153,28.07999992,20.80999947,23.54000092
{66A99E83-59FC-47A8-8251-E09C32A482AE},10.01000023,18.51000023,1.50999999,305.2399902,13.76000023,13.59000015,19.63999939,17.10000038,24.47999954,20.28000069,44.58000183,54.52999878,33.83000183,28.67000008,18.02000046,16.76000023
{A673B832-F1F2-4F4D-8028-654EF39E1D05},9.289999962,16.51000023,2.059999943,511.6900024,22.17000008,20.71999931,30.60000038,35.86999893,34.70999908,34.15000153,67.76999664,124.5899963,52.22000122,37.93000031,24.89999962,26.05999947
{4CC21818-81BA-42D2-B873-FA822B1F1CD7},9.409999847,16.63999939,2.170000076,510.2399902,22.43000031,20.87999916,30.89999962,34.61000061,35.11999893,34.61999893,68.83999634,120.6900024,53,38,24.98999977,26.15999985
{CAEAEA08-DB66-4CF7-BF02-1729A79BFDBD},10.28999996,18.12000084,2.450000048,362.6700134,16.12000084,15.40999985,31.15999985,19.71999931,20.96999931,32.06000137,54.31000137,59.34999847,38.91999817,36.5,15.69999981,22.45000076
{1F6A9A85-767E-4B71-BD41-5E495ADF8CB7},10.47999954,18.37999916,2.569999933,348,15.13000011,13.55000019,26.54999924,18.77000046,21.87000084,30.85000038,52.38000107,57.18999863,40.13999939,33.88000107,16.12999916,21.55999947
{28E46F31-8F9B-49B4-8914-8EA077B498D6},11.36999989,19.93000031,2.809999943,323.75,13.32999992,11.39000034,18.96999931,16.04999924,22.73999977,27.63999939,50.09999847,54.47000122,40.29999924,32.99000168,16.75,19.02000046
{6D1C2361-5252-4E77-982B-99F5C5EED589},11.93000031,20.68000031,3.170000076,320.2200012,13.27999973,12.71000004,19.40999985,17.72999954,20,26.10000038,50.22999954,51.56000137,38.61000061,33.04000092,17.81999969,19.72999954
{AA0C72D2-E75D-4F8C-9514-00C33CC5A0B1},6.099999905,15,-2.799999952,351.6300049,14.36999989,16.68000031,26.21999931,26.06999969,29.28000069,25.07999992,49.97000122,53.88000107,41.45000076,27.65999985,20.95999908,20.01000023
{AD58B192-5A36-493C-8632-1EA74271890C},6.190000057,15.39000034,-3.019999981,295.4899902,11.23999977,12.51000023,19.95000076,21.87999916,26.63999939,22.04000092,40.59000015,47.77000046,34.75,24.20000076,16.78000069,17.13999939
{AA875EDA-6E31-446F-8B0D-99710ED81B58},7.949999809,16.92000008,-1.019999981,317.4100037,13.84000015,15.75,23.88999939,21.47999954,30.25,21.35000038,35.88999939,51.95000076,35.79999924,26.46999931,19.13999939,21.60000038
{FA505B88-F615-4FDC-AFF4-FD98E32EE106},7.690000057,16.47999954,-1.110000014,408.4200134,21.14999962,23.32999992,34.90000153,28.53000069,31.62000084,26.97999954,51.04999924,62.34000015,43.52000046,33.56000137,26.60000038,24.84000015
{43856FCC-D0D5-4493-B240-FC10537F7CFA},8.489999771,16.27000046,0.709999979,505.4299927,12.23999977,12.81999969,57.15000153,57.40000153,84.95999908,71.48000336,49.54000092,45.77000046,35.56000137,35.27000046,27.17000008,16.06999969
{E8A7545C-1E88-4453-8A27-F0146D185BF5},4.380000114,10.96000004,-2.210000038,621.3599854,22.37999916,24.67000008,67.83000183,83.01999664,68.69000244,59.65000153,70.40000153,74.94000244,45.27999878,39.77000046,34.02000046,30.70999908
{748A583E-3F17-41AB-9DA0-52CE5CAF38BF},8.710000038,16.54999924,0.860000014,492.980011,12.32999992,13.73999977,53.99000168,57.68999863,81.47000122,69.63999939,48.88000107,44.65000153,36.34999847,33.59999847,24.95000076,15.68999958
{49FBD2CF-8701-4FAF-B1AE-E71EC2160C27},8.18999958,15.86999989,0.5,448.6600037,10.69999981,10.80000019,39.88000107,55.45000076,75.86000061,63.95999908,47.90999985,46.84000015,35.08000183,31.65999985,19.10000038,11.42000008
{88638AA0-E038-4AE0-95F5-7852CE06519C},10.90999985,20.05999947,1.75999999,309.6700134,17.98999977,23,25.87999916,22.76000023,23.70000076,15.02000046,21.97999954,38.77000046,43.02000046,35.29999924,23.87999916,18.37000084
{2E0151D4-B494-4E6D-9792-6B50648D5F4A},11.26000023,18.88999939,3.630000114,324.1000061,18.31999969,18.78000069,25.36000061,29.39999962,27.22999954,16.57999992,26.09000015,35.70999908,33.34000015,42.15999985,30.20000076,20.93000031
{ABBD376C-77DB-485F-B652-AAA489677F52},7.730000019,14.71000004,0.74000001,523.9199829,57.77999878,51.95999908,47.36999893,34.83000183,25.95999908,15.77000046,41.70000076,52.84000015,51.41999817,52.68000031,42.45000076,49.15999985
{96DD6C9A-2A33-45D9-B3DC-D829AAC6B199},8.579999924,16.62999916,0.529999971,316.1000061,20.06999969,23.14999962,25.5,20.37999916,21.90999985,9.899999619,31.97999954,35.20000076,38.18000031,41.13000107,26.13999939,22.55999947
{B889B004-BE42-4734-8CF6-0D49A905B5D7},5.570000172,14.11999989,-2.980000019,311.9200134,13.13000011,14.27999973,19.87000084,19.19000053,25.45000076,19.95999908,48.86000061,57.04000092,35.90000153,25.79000092,16.31999969,16.12999916
{C5EC404D-BB29-4F4E-82C7-F1C25430F175},4,10.57999992,-2.579999924,604.8699951,24.26000023,23.98999977,60.52000046,76.66000366,65,63.33000183,67.51000214,72.90000153,45.81000137,39.04999924,34.88000107,30.95999908
{EC530C06-8718-4A80-8C17-609F89207F23},10.61999989,18.09000015,3.140000105,302.0499878,18.35000038,18.63999939,27.37999916,31.28000069,28.31999969,18.82999992,18.02000046,25.71999931,35.79000092,35,26.31999969,18.39999962
{BF8E6B54-8856-455A-B98C-BEC6C932C713},4.309999943,13.44999981,-4.840000153,295.6799927,16.53000069,15.11999989,18.67000008,18.48999977,27.65999985,17.19000053,33,51.54000092,31.32999992,30.98999977,18.09000015,17.06999969
{6F58BEED-582B-4DCE-9C1C-09524D914042},4.309999943,13.44999981,-4.840000153,295.6799927,16.53000069,15.11999989,18.67000008,18.48999977,27.65999985,17.19000053,33,51.54000092,31.32999992,30.98999977,18.09000015,17.06999969
{DA1B271F-E6F4-4C6A-BCE6-0714FB4F955C},11.60999966,19.77000046,3.440000057,275.1400146,19.93000031,19.93000031,23.81999969,18.70000076,23.75,16.42000008,18.73999977,32.95999908,30.10000038,28.54999924,21.55999947,20.68000031
{4B77E7B6-75DC-44E6-8D76-12DBC1AD9295},9.590000153,16.69000053,2.480000019,308.6300049,18.88999939,17.55999947,26.20000076,26.87000084,27.45000076,15.47000027,23.45999908,33.79999924,36.08000183,33.81000137,25.51000023,23.53000069
{BD0FC776-F618-41D7-9E7B-ECC757B2B8F1},10.89999962,18.98999977,2.799999952,228.2700043,12.68000031,12.07999992,14.81000042,17.57999992,22.31999969,14.10000038,21.61000061,28.15999985,26.5,27.29000092,18.04999924,13.09000015
