"ModName2","ModType","Set","MetricCount","MetricResult","Metric","Stratified","Unstratified","Metric2","ModTypeName"
"NM","NM","Training",30,1,"Accuracy (EnotP)",TRUE,TRUE,"Accuracy (EnotP)","NM"
"NM","NM","Training",42,0.666666666666667,"Accuracy (EvIdry)",TRUE,TRUE,"Accuracy (EvIdry)","NM"
"NM","NM","Training",89,0.820224719101124,"Accuracy (EvNE)",TRUE,TRUE,"Accuracy (EvNE)","NM"
"NM","NM","Training",89,0.820224719101124,"Accuracy (EvNE_SInm)",TRUE,TRUE,"Accuracy (EvNE_SInm)","NM"
"NM","NM","Training",89,0.808988764044944,"Accuracy (EvNE_SIpnw)",TRUE,TRUE,"Accuracy (EvNE_SIpnw)","NM"
"NM","NM","Training",25,0.96,"Accuracy (PnotE)",TRUE,TRUE,"Accuracy (PnotE)","NM"
"NM","NM","Training",89,0.617977528089888,"Accuracy (PvIvE)",TRUE,TRUE,"Accuracy (PvIvE)","NM"
"NM","NM","Training",45,0.6,"Accuracy (PvIwet)",TRUE,TRUE,"Accuracy (PvIwet)","NM"
"NM","NM","Training",89,0.786516853932584,"Accuracy (PvNP)",TRUE,TRUE,"Accuracy (PvNP)","NM"
"PNW","PNW","Training",30,1,"Accuracy (EnotP)",TRUE,TRUE,"Accuracy (EnotP)","PNW"
"PNW","PNW","Training",42,0.738095238095238,"Accuracy (EvIdry)",TRUE,TRUE,"Accuracy (EvIdry)","PNW"
"PNW","PNW","Training",89,0.831460674157303,"Accuracy (EvNE)",TRUE,TRUE,"Accuracy (EvNE)","PNW"
"PNW","PNW","Training",89,0.831460674157303,"Accuracy (EvNE_SInm)",TRUE,TRUE,"Accuracy (EvNE_SInm)","PNW"
"PNW","PNW","Training",89,0.820224719101124,"Accuracy (EvNE_SIpnw)",TRUE,TRUE,"Accuracy (EvNE_SIpnw)","PNW"
"PNW","PNW","Training",25,0.96,"Accuracy (PnotE)",TRUE,TRUE,"Accuracy (PnotE)","PNW"
"PNW","PNW","Training",89,0.595505617977528,"Accuracy (PvIvE)",TRUE,TRUE,"Accuracy (PvIvE)","PNW"
"PNW","PNW","Training",45,0.488888888888889,"Accuracy (PvIwet)",TRUE,TRUE,"Accuracy (PvIwet)","PNW"
"PNW","PNW","Training",89,0.752808988764045,"Accuracy (PvNP)",TRUE,TRUE,"Accuracy (PvNP)","PNW"
"PNW2.rf","PNW2.rf","Testing",7,1,"Accuracy (EnotP)",TRUE,TRUE,"Accuracy (EnotP)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",23,0.956521739130435,"Accuracy (EnotP)",TRUE,TRUE,"Accuracy (EnotP)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",9,0.777777777777778,"Accuracy (EvIdry)",TRUE,TRUE,"Accuracy (EvIdry)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",33,0.696969696969697,"Accuracy (EvIdry)",TRUE,TRUE,"Accuracy (EvIdry)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",17,0.882352941176471,"Accuracy (EvNE)",TRUE,TRUE,"Accuracy (EvNE)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",72,0.819444444444444,"Accuracy (EvNE)",TRUE,TRUE,"Accuracy (EvNE)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",17,0.823529411764706,"Accuracy (EvNE_SInm)",TRUE,TRUE,"Accuracy (EvNE_SInm)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",72,0.847222222222222,"Accuracy (EvNE_SInm)",TRUE,TRUE,"Accuracy (EvNE_SInm)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",17,0.823529411764706,"Accuracy (EvNE_SIpnw)",TRUE,TRUE,"Accuracy (EvNE_SIpnw)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",72,0.833333333333333,"Accuracy (EvNE_SIpnw)",TRUE,TRUE,"Accuracy (EvNE_SIpnw)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",4,1,"Accuracy (PnotE)",TRUE,TRUE,"Accuracy (PnotE)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",21,0.904761904761905,"Accuracy (PnotE)",TRUE,TRUE,"Accuracy (PnotE)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",17,0.529411764705882,"Accuracy (PvIvE)",TRUE,TRUE,"Accuracy (PvIvE)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",72,0.638888888888889,"Accuracy (PvIvE)",TRUE,TRUE,"Accuracy (PvIvE)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",7,0.142857142857143,"Accuracy (PvIwet)",TRUE,TRUE,"Accuracy (PvIwet)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",38,0.578947368421053,"Accuracy (PvIwet)",TRUE,TRUE,"Accuracy (PvIwet)","PNW2.rf"
"PNW2.rf","PNW2.rf","Testing",17,0.647058823529412,"Accuracy (PvNP)",TRUE,TRUE,"Accuracy (PvNP)","PNW2.rf"
"PNW2.rf","PNW2.rf","Training",72,0.777777777777778,"Accuracy (PvNP)",TRUE,TRUE,"Accuracy (PvNP)","PNW2.rf"
"PNW2.rp","PNW2.rp","Testing",7,1,"Accuracy (EnotP)",TRUE,TRUE,"Accuracy (EnotP)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",23,0.956521739130435,"Accuracy (EnotP)",TRUE,TRUE,"Accuracy (EnotP)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",9,0.777777777777778,"Accuracy (EvIdry)",TRUE,TRUE,"Accuracy (EvIdry)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",33,0.666666666666667,"Accuracy (EvIdry)",TRUE,TRUE,"Accuracy (EvIdry)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",17,0.823529411764706,"Accuracy (EvNE)",TRUE,TRUE,"Accuracy (EvNE)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",72,0.805555555555556,"Accuracy (EvNE)",TRUE,TRUE,"Accuracy (EvNE)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",17,0.823529411764706,"Accuracy (EvNE_SInm)",TRUE,TRUE,"Accuracy (EvNE_SInm)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",72,0.819444444444444,"Accuracy (EvNE_SInm)",TRUE,TRUE,"Accuracy (EvNE_SInm)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",17,0.764705882352941,"Accuracy (EvNE_SIpnw)",TRUE,TRUE,"Accuracy (EvNE_SIpnw)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",72,0.819444444444444,"Accuracy (EvNE_SIpnw)",TRUE,TRUE,"Accuracy (EvNE_SIpnw)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",4,1,"Accuracy (PnotE)",TRUE,TRUE,"Accuracy (PnotE)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",21,0.952380952380952,"Accuracy (PnotE)",TRUE,TRUE,"Accuracy (PnotE)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",17,0.588235294117647,"Accuracy (PvIvE)",TRUE,TRUE,"Accuracy (PvIvE)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",72,0.652777777777778,"Accuracy (PvIvE)",TRUE,TRUE,"Accuracy (PvIvE)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",7,0.428571428571429,"Accuracy (PvIwet)",TRUE,TRUE,"Accuracy (PvIwet)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",38,0.631578947368421,"Accuracy (PvIwet)",TRUE,TRUE,"Accuracy (PvIwet)","PNW2.rp"
"PNW2.rp","PNW2.rp","Testing",17,0.764705882352941,"Accuracy (PvNP)",TRUE,TRUE,"Accuracy (PvNP)","PNW2.rp"
"PNW2.rp","PNW2.rp","Training",72,0.819444444444444,"Accuracy (PvNP)",TRUE,TRUE,"Accuracy (PvNP)","PNW2.rp"
"Strat","RandomForest","Testing",4,0.75,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat"
"Strat","RandomForest","Training",26,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat"
"Strat","RandomForest","Testing",6,0.5,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat"
"Strat","RandomForest","Training",36,0.666666666666667,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat"
"Strat","RandomForest","Testing",20,0.85,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat"
"Strat","RandomForest","Training",69,0.811594202898551,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat"
"Strat","RandomForest","Testing",20,0.85,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat"
"Strat","RandomForest","Training",69,0.797101449275362,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat"
"Strat","RandomForest","Testing",20,0.85,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat"
"Strat","RandomForest","Training",69,0.797101449275362,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat"
"Strat","RandomForest","Testing",9,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat"
"Strat","RandomForest","Training",16,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat"
"Strat","RandomForest","Testing",20,0.6,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat"
"Strat","RandomForest","Training",69,0.521739130434783,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat"
"Strat","RandomForest","Testing",14,0.642857142857143,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat"
"Strat","RandomForest","Training",31,0.32258064516129,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat"
"Strat","RandomForest","Testing",20,0.7,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat"
"Strat","RandomForest","Training",69,0.710144927536232,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat"
"Strat","Rpart","Testing",4,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","Rpart Strat"
"Strat","Rpart","Training",26,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","Rpart Strat"
"Strat","Rpart","Testing",6,0.333333333333333,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat"
"Strat","Rpart","Training",36,0.805555555555556,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat"
"Strat","Rpart","Testing",20,0.75,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","Rpart Strat"
"Strat","Rpart","Training",69,0.884057971014493,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","Rpart Strat"
"Strat","Rpart","Testing",20,0.8,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","Rpart Strat"
"Strat","Rpart","Training",69,0.869565217391304,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","Rpart Strat"
"Strat","Rpart","Testing",20,0.8,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","Rpart Strat"
"Strat","Rpart","Training",69,0.869565217391304,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","Rpart Strat"
"Strat","Rpart","Testing",9,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","Rpart Strat"
"Strat","Rpart","Training",16,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","Rpart Strat"
"Strat","Rpart","Testing",20,0.35,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","Rpart Strat"
"Strat","Rpart","Training",69,0.782608695652174,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","Rpart Strat"
"Strat","Rpart","Testing",14,0.357142857142857,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","Rpart Strat"
"Strat","Rpart","Training",31,0.741935483870968,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","Rpart Strat"
"Strat","Rpart","Testing",20,0.6,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","Rpart Strat"
"Strat","Rpart","Training",69,0.898550724637681,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","Rpart Strat"
"Strat","RpartScore","Testing",4,0.75,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RpartScore Strat"
"Strat","RpartScore","Training",26,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RpartScore Strat"
"Strat","RpartScore","Testing",6,0.5,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RpartScore Strat"
"Strat","RpartScore","Training",36,0.805555555555556,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RpartScore Strat"
"Strat","RpartScore","Testing",20,0.85,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RpartScore Strat"
"Strat","RpartScore","Training",69,0.869565217391304,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RpartScore Strat"
"Strat","RpartScore","Testing",20,0.85,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RpartScore Strat"
"Strat","RpartScore","Training",69,0.869565217391304,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RpartScore Strat"
"Strat","RpartScore","Testing",20,0.85,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RpartScore Strat"
"Strat","RpartScore","Training",69,0.855072463768116,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RpartScore Strat"
"Strat","RpartScore","Testing",9,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RpartScore Strat"
"Strat","RpartScore","Training",16,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RpartScore Strat"
"Strat","RpartScore","Testing",20,0.55,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RpartScore Strat"
"Strat","RpartScore","Training",69,0.753623188405797,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RpartScore Strat"
"Strat","RpartScore","Testing",14,0.571428571428571,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RpartScore Strat"
"Strat","RpartScore","Training",31,0.709677419354839,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RpartScore Strat"
"Strat","RpartScore","Testing",20,0.65,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RpartScore Strat"
"Strat","RpartScore","Training",69,0.884057971014493,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RpartScore Strat"
"Strat H2O","RandomForest","Testing",5,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",25,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",9,0.888888888888889,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",33,0.575757575757576,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",17,0.941176470588235,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",72,0.777777777777778,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",17,0.941176470588235,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",72,0.805555555555556,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",17,0.941176470588235,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",72,0.777777777777778,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",1,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",24,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",17,0.705882352941177,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",72,0.597222222222222,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",8,0.5,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",37,0.648648648648649,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Testing",17,0.764705882352941,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat H2O"
"Strat H2O","RandomForest","Training",72,0.819444444444444,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat H2O"
"Strat H2O","Rpart","Testing",5,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",25,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",9,0.888888888888889,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",33,0.818181818181818,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,0.941176470588235,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.888888888888889,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,1,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.875,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,1,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.861111111111111,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",1,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",24,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,0.823529411764706,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.736111111111111,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",8,0.75,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",37,0.702702702702703,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,0.882352941176471,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.847222222222222,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","Rpart Strat H2O"
"Strat H2O","RpartScore","Testing",5,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",25,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",9,0.888888888888889,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",33,0.818181818181818,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,0.941176470588235,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.888888888888889,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,1,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.875,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,1,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.861111111111111,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",1,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",24,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,0.764705882352941,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.763888888888889,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",8,0.625,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",37,0.756756756756757,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,0.823529411764706,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.875,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RpartScore Strat H2O"
"Strat H2O SC","RandomForest","Testing",6,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",23,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",10,0.7,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",31,0.709677419354839,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.857142857142857,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.863636363636364,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.80952380952381,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.848484848484849,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.80952380952381,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.863636363636364,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",5,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",19,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.619047619047619,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.606060606060606,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",11,0.545454545454545,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",33,0.515151515151515,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.761904761904762,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat H2O SC"
